Epoch,Training Loss,Training Accuracy,Training Precision,Training Recall,Training F1,Random Val Loss,Random Val Accuracy,Random Val Precision,Random Val Recall,Random Val F1,Sequence Val Loss,Sequence Val Accuracy,Sequence Val Precision,Sequence Val Recall,Sequence Val F1
1,1.1248015962032818,55.766923093406476,0.5514904434770695,0.5576692309340647,0.5496416311041603,0.9267976120617126,63.15332690453231,0.6300423072836785,0.631533269045323,0.625896993481177,4.998725632514142,48.379942140790746,0.6193437853262087,0.48379942140790744,0.5168648732437688
2,0.8484617666835281,66.76613024192685,0.6625751850932441,0.6676613024192685,0.6609207166131111,0.7802977675766302,69.25747348119576,0.6875726655747487,0.6925747348119575,0.6876491847468412,6.596070480435812,48.013500482160076,0.6021357024062949,0.48013500482160076,0.5137593054657991
3,0.7413457117548208,71.03092120770566,0.705266076410434,0.7103092120770566,0.7042739998619967,0.6969851324037631,72.45901639344262,0.7186402061484748,0.7245901639344262,0.7173255495467086,6.930181575863354,47.155255544840884,0.5809710227564963,0.47155255544840885,0.5018546827875479
4,0.6735886906694786,73.65536674738037,0.7313549207955645,0.7365536674738038,0.7307179094451532,0.6566397236443005,74.09836065573771,0.7461438106894722,0.740983606557377,0.7347619333020745,5.641889950694042,45.67984570877531,0.5825788618458057,0.45679845708775313,0.49840035973141794
5,0.6232856602794633,75.65356676023742,0.7511544972488919,0.7565356676023742,0.750927206045807,0.5969024155691746,76.34522661523626,0.7587997844815202,0.7634522661523626,0.7577682282912906,5.042658697100884,48.16779170684667,0.5548504901218407,0.48167791706846674,0.5101808899834296
6,0.584245103759066,77.10909207791373,0.7656252099088287,0.7710909207791373,0.7657413081149371,0.5609500731335827,78.09064609450337,0.7769208477346599,0.7809064609450338,0.7768287389085922,5.44015107656532,50.22179363548698,0.599001047205003,0.5022179363548698,0.5316777778022715
7,0.5497890925587224,78.64711680630853,0.7811367516887473,0.7864711680630853,0.7813274898210979,0.5447318920854227,78.45708775313405,0.7793621308735382,0.7845708775313404,0.7788332979140853,5.7077879422030735,50.13500482160077,0.5860553738688237,0.5013500482160077,0.5263333310819323
8,0.523151854793217,79.57443161120278,0.7905281479120463,0.7957443161120278,0.7908534044128889,0.5137212717022884,80.2410800385728,0.799572185317021,0.8024108003857281,0.7970361515535022,6.709546072389095,50.2314368370299,0.5945691828525222,0.502314368370299,0.5296920841766921
9,0.5009672358289826,80.51674630895494,0.8000979372748024,0.8051674630895493,0.80042399963831,0.5124738980656022,79.94214079074253,0.7987740169400696,0.7994214079074252,0.793650119083506,7.004420669870794,53.57762777242044,0.601456130945661,0.5357762777242044,0.556834916822488
10,0.4822403249989481,81.14888465082392,0.8066533014194213,0.8114888465082393,0.8069742901439114,0.48454698017959774,80.96432015429123,0.807428686663921,0.8096432015429122,0.8050718170681181,7.617386633812369,51.8900675024108,0.6021635518637485,0.518900675024108,0.5475437644388831
11,0.4651807259371071,81.85227248376798,0.8138179387449439,0.8185227248376797,0.814177764302521,0.4675020223883041,81.47540983606558,0.8108658693653045,0.8147540983606557,0.8109084048622649,8.382942371060475,52.99903567984571,0.6040943816413261,0.5299903567984571,0.5510149682330219
12,0.44837285941967947,82.45923243405404,0.8200104202367222,0.8245923243405404,0.820508283673903,0.46396001436936163,81.39826422372228,0.8117046448552498,0.8139826422372227,0.8122318420103298,9.237124966582115,52.044358727097396,0.6250397234518792,0.520443587270974,0.5578808221430132
13,0.4374960915025555,82.86958664580968,0.8243325795513459,0.8286958664580967,0.8247867478826679,0.4464690255781813,81.99614271938283,0.8183842037819425,0.8199614271938284,0.8148074967920461,9.914072989870043,51.05110896817744,0.596604585098982,0.5105110896817744,0.5347618482301344
14,0.42504601804798176,83.4454753894615,0.8302970471503079,0.834454753894615,0.830813607082632,0.4280910199446292,83.39440694310511,0.8322041046503742,0.8339440694310511,0.8298817591577916,10.36942353732816,53.47155255544841,0.6022048506773373,0.5347155255544841,0.5574408092102238
15,0.4146917439412286,83.654938179013,0.8325358641667276,0.83654938179013,0.8330512881423866,0.42757223802280553,82.71938283510126,0.8349543715943368,0.8271938283510125,0.8171656433371646,10.500977248441574,52.931533269045325,0.615562104361921,0.5293153326904533,0.5566342609749126
16,0.40237383974060276,84.1461846701095,0.8376081664654733,0.841461846701095,0.8381346250254322,0.39057316169384615,84.47444551591128,0.8413677033788751,0.8447444551591128,0.8410134667251772,11.259878642452835,52.73866923818708,0.603780913067569,0.5273866923818707,0.5567986073390938
17,0.39452952370788286,84.3701116420597,0.8399119070220381,0.843701116420597,0.8405113169472166,0.38574789592429587,84.65766634522662,0.8440585183310644,0.8465766634522661,0.8413698957155492,11.561968727987113,53.59691417550627,0.6021219263079147,0.5359691417550627,0.5626672326537078
18,0.38518359285022935,84.87260805279962,0.8451390819249375,0.8487260805279963,0.8457214500242485,0.3835844776014286,84.73481195756992,0.8452006994412334,0.8473481195756991,0.8426152174117147,11.777205779710497,53.55834136933462,0.6087906589786459,0.5355834136933462,0.563191022150559
19,0.37834211283854763,85.0901064992393,0.8473623007527271,0.8509010649923929,0.8479828281188161,0.37416671713145644,84.78302796528448,0.8467367303681773,0.8478302796528447,0.8468766459357391,12.381424192539203,50.665380906460946,0.6046122777740514,0.5066538090646094,0.5395717578775039
20,0.3701678818071955,85.34617609874215,0.8501222891523074,0.8534617609874215,0.8506124117834195,0.3744224278834178,84.74445515911283,0.8465095862191844,0.8474445515911283,0.8464443100182043,13.948383325558053,51.00289296046287,0.6213871075654949,0.5100289296046288,0.551008206549507
21,0.363601598164522,85.63492403625689,0.8530610614990034,0.8563492403625689,0.8536214339695369,0.37506399555074377,84.97589199614272,0.8529620434427585,0.8497589199614272,0.84340504692351,13.839782105955951,51.186113789778204,0.5982153297314949,0.5118611378977821,0.5433784670647311
22,0.35681843671297675,85.87170805922815,0.8554346337177794,0.8587170805922815,0.8560199880795613,0.34719711085013855,86.06557377049181,0.8578709975204928,0.860655737704918,0.8582657079313303,14.063018044785462,52.19864995178399,0.618469595439012,0.5219864995178399,0.555124051268655
23,0.3493800695179708,86.08170655923887,0.8576788221269254,0.8608170655923886,0.8583059414011258,0.344559710049299,86.22950819672131,0.8606148591950437,0.8622950819672132,0.8601886455185411,13.052862058601402,52.34329797492767,0.604349659319329,0.5234329797492767,0.5555379380955835
24,0.3447064717986995,86.3125977671588,0.8601270428551033,0.863125977671588,0.8606622770980725,0.32659509183803564,86.81774349083896,0.8650660591284723,0.8681774349083896,0.8653884026721923,14.37247029146164,52.256509161041464,0.6139801990327789,0.5225650916104146,0.5593618590618337
25,0.3398065064402529,86.47438232584052,0.8617580725126359,0.8647438232584053,0.8622979434457473,0.33560970389038436,86.34522661523626,0.8638253441101346,0.8634522661523626,0.8623292221653759,15.259642858585241,52.21793635486981,0.6082154928471292,0.5221793635486982,0.5551089835146323
26,0.3337776308695993,86.65598817151306,0.8636610771205289,0.8665598817151307,0.8642052898143234,0.33454085913892156,86.45130183220829,0.8623106346768996,0.8645130183220829,0.8615590228288439,14.806852907711498,50.21215043394407,0.5935137106829275,0.5021215043394407,0.5352529130662033
27,0.32937086128875903,86.83330833351191,0.8655375392897016,0.868333083335119,0.866111873605511,0.33146583805407537,86.89488910318225,0.8691524651707084,0.8689488910318226,0.8686763924182146,14.93743490839275,52.208293153326906,0.6221006118332439,0.522082931533269,0.5602413748315153
