Epoch,Training Loss,Training Accuracy,Training Precision,Training Recall,Training F1,Random Val Loss,Random Val Accuracy,Random Val Precision,Random Val Recall,Random Val F1,Sequence Val Loss,Sequence Val Accuracy,Sequence Val Precision,Sequence Val Recall,Sequence Val F1
1,1.3658111095428467,48.847650404070635,0.47997145063122837,0.48847650404070636,0.46245274321831475,1.1196003953615825,57.142857142857146,0.5786763231070868,0.5714285714285714,0.5493809387509438,3.0245404094457626,30.997304582210244,0.09608328913623122,0.30997304582210244,0.1466950628376205
2,1.1396898263976687,56.39030230469919,0.5591370030928225,0.5639030230469919,0.5486181477914399,1.0759904583295186,59.56873315363882,0.616866941962211,0.5956873315363881,0.5915827800385521,3.451427256067594,30.7277628032345,0.09870650062491529,0.30727762803234504,0.1494161827641424
3,1.011726641087305,63.57378030529782,0.627198928603866,0.6357378030529781,0.6248063207196236,0.9171768724918365,66.0377358490566,0.6551970438233458,0.660377358490566,0.6531016178120141,4.067971696456273,29.380053908355794,0.0951748225200258,0.29380053908355797,0.1437747318919539
4,0.9284070537203835,65.87847949715653,0.6525101501107792,0.6587847949715654,0.6520485511288717,0.8900229235490164,67.38544474393531,0.667310354052614,0.6738544474393531,0.6559694128829316,4.1302710473537445,27.223719676549866,0.09603459395101946,0.2722371967654987,0.14198311849447776
5,0.8393007477124532,69.05118228075426,0.6876534095504822,0.6905118228075426,0.684581190430852,0.8141293525695801,70.08086253369272,0.6829097437828884,0.7008086253369272,0.6833460313740676,4.593902473648389,28.032345013477087,0.09481528460440782,0.2803234501347709,0.14170196380438968
6,0.7950799607095265,69.87428913498952,0.6971289590986708,0.6987428913498952,0.6934087913125677,0.7219338019688925,76.28032345013477,0.7574988769092542,0.7628032345013477,0.7433897454697622,4.864266941944758,23.18059299191375,0.09589094223273673,0.23180592991913745,0.13566250351501682
7,0.7546798882030306,70.93684525591141,0.7069942692554135,0.7093684525591141,0.7040427956997596,0.7624956170717875,70.61994609164421,0.7061960783696755,0.706199460916442,0.6813276561194591,4.796925415595372,25.87601078167116,0.09507160510837646,0.2587601078167116,0.13905332896692446
8,0.7268581583386375,71.78988326848248,0.7152284991207022,0.7178988326848249,0.7114607825221534,0.7048328916231791,74.93261455525607,0.7397014193661894,0.7493261455525606,0.7229862019981946,5.304731627305348,27.493261455525605,0.09698543151489095,0.2749326145552561,0.14338889194491813
9,0.7022621853010995,73.3163723436097,0.7294145779009557,0.7331637234360969,0.7264944324013526,0.6849312285582224,76.81940700808626,0.7691197328688808,0.7681940700808625,0.7481562794678167,5.14058643579483,26.41509433962264,0.09992552135054618,0.2641509433962264,0.14499932453730804
10,0.6660012957595643,74.12451361867704,0.7350393673050853,0.7412451361867705,0.7336900351098588,0.6914003491401672,75.2021563342318,0.7485406996961635,0.7520215633423181,0.7483837668997788,5.440571149190267,29.380053908355794,0.0951748225200258,0.29380053908355797,0.1437747318919539
