Epoch,Training Loss,Training Accuracy,Training Precision,Training Recall,Training F1,Random Val Loss,Random Val Accuracy,Random Val Precision,Random Val Recall,Random Val F1,Sequence Val Loss,Sequence Val Accuracy,Sequence Val Precision,Sequence Val Recall,Sequence Val F1
1,1.1972075465847465,54.69959454478437,0.5681075041970919,0.5469959454478437,0.5343682362178309,0.8620267391204834,64.61794019933555,0.676690025775107,0.6461794019933554,0.6064017374541605,3.201761257648468,0.9966777408637874,0.0031893687707641193,0.009966777408637873,0.004832376925400181
2,0.8359307885169983,69.59085882786583,0.682048420021776,0.6959085882786583,0.6766906591050352,0.6858274519443512,74.25249169435216,0.7402742873079319,0.7425249169435216,0.7340752428409385,5.152687186002732,40.36544850498339,0.21716571708013782,0.40365448504983387,0.28239392203329267
3,0.6994801864904516,73.51640250645042,0.7188853553197889,0.7351640250645043,0.7186504845905146,0.5964253127574921,76.578073089701,0.7639159894892001,0.7657807308970099,0.7618537497888472,7.582495373487473,10.631229235880399,0.011302303506583813,0.10631229235880399,0.02043239252541578
4,0.6127851189935909,75.81091043125691,0.7448341234120524,0.7581091043125691,0.7460579109251896,0.5180895090103149,80.8970099667774,0.804912814468558,0.8089700996677741,0.8038295914661396,8.442451822757722,39.70099667774086,0.1816109422492401,0.39700996677740863,0.2492179353493222
5,0.5606259922770893,77.48802064135643,0.7635064017109522,0.7748802064135644,0.7639858746354845,0.5029984712600708,78.90365448504983,0.795643173741697,0.7890365448504983,0.7682140962739232,10.155337285995483,8.13953488372093,0.01001788908765653,0.08139534883720931,0.017840076457470534
6,0.5213837022290511,79.17434574272023,0.7825017379550467,0.7917434574272023,0.7830427647679663,0.43588044941425325,83.05647840531562,0.8384044095257516,0.8305647840531561,0.8302954849327111,12.94310051202774,10.631229235880399,0.011321109336045682,0.10631229235880399,0.02046311792770964
7,0.49473983347415923,79.91153704386288,0.7917887848321317,0.7991153704386288,0.7917757973708232,0.40704120695590973,82.89036544850498,0.8387979656911223,0.8289036544850499,0.8269331612775019,14.073659437894822,10.631229235880399,0.011377904198935543,0.10631229235880399,0.020555851090524033
8,0.47036865143214956,80.501290084777,0.7980263766322812,0.80501290084777,0.7986752525893762,0.43016100227832793,79.40199335548172,0.8186910488844693,0.7940199335548173,0.7732418063730525,14.591466677188873,10.299003322259136,0.011344857360147757,0.10299003322259136,0.020438332174405726
9,0.454865082747796,81.13711758201254,0.8055326410777306,0.8113711758201253,0.8057390858902614,0.39051382839679716,83.22259136212625,0.8422943784190366,0.8322259136212624,0.8327519388408178,15.474401324987411,42.524916943521596,0.1924812030075188,0.42524916943521596,0.2650103519668737
10,0.4428816912805333,81.14633247327681,0.8057853824732883,0.8114633247327682,0.8062483387811893,0.37107730805873873,84.38538205980066,0.8530011741848589,0.8438538205980066,0.8456607103966006,16.919087558984756,21.262458471760798,0.29873970640887937,0.21262458471760798,0.20669477206467002
11,0.4323149858152165,81.42277921120531,0.808954496078543,0.8142277921120531,0.8095830911564712,0.362313774228096,85.04983388704319,0.8620456726418513,0.8504983388704319,0.8507453623033842,17.968642938137055,10.631229235880399,0.011302303506583813,0.10631229235880399,0.02043239252541578
12,0.41577316671609876,82.0217471433837,0.8153156313567098,0.820217471433837,0.8158953722793598,0.33583500385284426,85.71428571428571,0.8569057367883388,0.8571428571428571,0.8547012354728972,18.264090269804,42.35880398671096,0.21065315677718777,0.42358803986710963,0.28130478996083436
13,0.40490238386041977,82.4640619240693,0.8199844911194638,0.824640619240693,0.8200970284559935,0.3353143915534019,85.04983388704319,0.8475429797171311,0.8504983388704319,0.8466319796836315,19.1806382894516,37.541528239202655,0.25362488465869354,0.3754152823920266,0.30217557936086376
14,0.3944554713719031,83.24732768153336,0.8274351461065443,0.8324732768153336,0.8283510413661432,0.33939346075057986,86.2126245847176,0.863807639928697,0.8621262458471761,0.8571088302277591,20.88818928003311,10.132890365448505,0.01101027136483369,0.10132890365448505,0.019862327209454956
15,0.3826996678815168,83.76336159233321,0.83219723984949,0.8376336159233321,0.8336369112835733,0.3063347652554512,86.87707641196013,0.8675166680405587,0.8687707641196013,0.8650506433276925,20.81578948497772,11.627906976744185,0.37368036483660455,0.11627906976744186,0.05464122348023597
16,0.3703187257051468,84.49133800221158,0.8396892234388574,0.8449133800221157,0.8411116183488088,0.31904511898756027,87.20930232558139,0.8683820767417005,0.872093023255814,0.8668357990328858,22.337220859527587,9.634551495016611,0.22403913560303573,0.09634551495016612,0.04248293127797891
17,0.3706961230320089,84.50055289347586,0.8396663666402234,0.8450055289347586,0.841234371922947,0.3338348358869553,85.21594684385381,0.8549859300403281,0.8521594684385382,0.8445979187809687,22.486999303102493,15.282392026578073,0.30793635852496065,0.15282392026578073,0.1289338377857195
