Epoch,Training Loss,Training Accuracy,Training Precision,Training Recall,Training F1,Random Val Loss,Random Val Accuracy,Random Val Precision,Random Val Recall,Random Val F1,Sequence Val Loss,Sequence Val Accuracy,Sequence Val Precision,Sequence Val Recall,Sequence Val F1
1,0.21635665172754331,54.87444608567208,0.5136613514584205,0.5487444608567208,0.5305739842246452,0.1757319172223409,62.666666666666664,0.5926206896551725,0.6266666666666667,0.5965415751301574,0.426318496465683,0.0,0.0,0.0,0.0
2,0.1206902981150982,73.41211225997046,0.6881045403362785,0.7341211225997046,0.7064536067299357,0.10737417389949162,74.0,0.7110624824092316,0.74,0.7056006871198071,0.2818114658196767,0.0,0.0,0.0,0.0
3,0.08473070407676142,78.36041358936484,0.7865351221397305,0.7836041358936484,0.7660981134662688,0.09131842851638794,76.66666666666667,0.8092821970085556,0.7666666666666667,0.7604667425597658,0.1413226773341497,81.33333333333333,1.0,0.8133333333333334,0.8970588235294118
4,0.07298913147560386,80.94534711964549,0.8204562092234675,0.8094534711964549,0.8074539276527097,0.08504076798756917,76.66666666666667,0.8033618436683299,0.7666666666666667,0.7592911010558069,0.15824530522028604,68.66666666666667,1.0,0.6866666666666666,0.8142292490118577
