Epoch,Training Loss,Training Accuracy,Training Precision,Training Recall,Training F1,Random Val Loss,Random Val Accuracy,Random Val Precision,Random Val Recall,Random Val F1,Sequence Val Loss,Sequence Val Accuracy,Sequence Val Precision,Sequence Val Recall,Sequence Val F1
1,1.4086263179779053,54.759054175396585,0.5823261521703038,0.5475905417539659,0.541056143053005,1.1854851245880127,68.46361185983828,0.7080892329699133,0.6846361185983828,0.6842187161812469,2.6011687517166138,30.997304582210244,0.09608328913623122,0.30997304582210244,0.1466950628376205
2,0.9746166798803542,71.93953906016162,0.7248588792168792,0.7193953906016163,0.7159232402452619,0.8348897993564606,73.31536388140162,0.7359287707621748,0.7331536388140162,0.72527106570805,2.437137722969055,30.997304582210244,0.09660406577111592,0.30997304582210244,0.1473012407832305
3,0.7042211735690082,75.57617479796468,0.7564902531054971,0.7557617479796468,0.7529954718801534,0.634951651096344,78.70619946091644,0.7894555163993426,0.7870619946091644,0.7778120860489756,3.144849419593811,28.032345013477087,0.10710032148006196,0.2803234501347709,0.15498652291105122
4,0.5499757837366175,79.04818916492069,0.7919005667143504,0.7904818916492068,0.7879232325421565,0.5203247517347336,83.01886792452831,0.8489816393529055,0.8301886792452831,0.8326449148962343,3.480699062347412,30.7277628032345,0.0965489814855729,0.30727762803234504,0.14693109032731674
5,0.46583547194798786,82.62496258605208,0.8337056598866925,0.8262496258605208,0.8266855548285063,0.4785887449979782,79.51482479784367,0.8301105620445243,0.7951482479784366,0.7991446119505099,3.517080783843994,30.997304582210244,0.09608328913623122,0.30997304582210244,0.1466950628376205
6,0.440046101808548,83.68751870697396,0.8431906715926518,0.8368751870697396,0.8371814673226061,0.4544728398323059,85.17520215633424,0.8503389862831547,0.8517520215633423,0.8506759305406071,3.589510440826416,29.110512129380055,0.10206429557557031,0.29110512129380056,0.15113809909158943
