Epoch,Training Loss,Training Accuracy,Training Precision,Training Recall,Training F1,Random Val Loss,Random Val Accuracy,Random Val Precision,Random Val Recall,Random Val F1,Sequence Val Loss,Sequence Val Accuracy,Sequence Val Precision,Sequence Val Recall,Sequence Val F1
1,2.7788556814193726,12.179487179487179,0.07929309959041235,0.12179487179487179,0.07960278453273657,2.633993148803711,20.689655172413794,0.15812807881773397,0.20689655172413793,0.15567867431048743,3.4810540676116943,0.0,0.0,0.0,0.0
2,2.7787563800811768,12.179487179487179,0.07929309959041235,0.12179487179487179,0.07960278453273657,2.633993148803711,20.689655172413794,0.15812807881773397,0.20689655172413793,0.15567867431048743,3.4810540676116943,0.0,0.0,0.0,0.0
3,2.6920056343078613,12.393162393162394,0.08296657862269895,0.12393162393162394,0.08245037200182492,2.2798213958740234,18.96551724137931,0.15249912922326714,0.1896551724137931,0.14984586708724643,2.6204476356506348,0.0,0.0,0.0,0.0
4,2.303354263305664,14.52991452991453,0.41757780474593936,0.1452991452991453,0.10211721687307868,2.0104804039001465,24.137931034482758,0.11227422003284074,0.2413793103448276,0.14442190669371197,2.151994466781616,53.44827586206897,0.3668018931710615,0.5344827586206896,0.4350441058540497
