Epoch,Training Loss,Training Accuracy,Training Precision,Training Recall,Training F1,Random Val Loss,Random Val Accuracy,Random Val Precision,Random Val Recall,Random Val F1,Sequence Val Loss,Sequence Val Accuracy,Sequence Val Precision,Sequence Val Recall,Sequence Val F1
1,1.207541489033472,54.519604908709965,0.5542086757299508,0.5451960490870996,0.5117963190040097,0.9797907372315725,60.107816711590296,0.5734328185745176,0.601078167115903,0.5671979565336863,3.6364790350198746,30.997304582210244,0.09608328913623122,0.30997304582210244,0.1466950628376205
2,0.8730327311016265,67.43489973061958,0.6714545562473726,0.6743489973061958,0.6571828209338666,0.7652286092440287,69.54177897574124,0.7174568563828965,0.6954177897574124,0.6692447658020139,3.7331182758013406,30.997304582210244,0.09608328913623122,0.30997304582210244,0.1466950628376205
3,0.6688511686665671,76.29452259802454,0.7684290275248088,0.7629452259802454,0.7542035676936295,0.5778725345929464,76.81940700808626,0.7637496722189304,0.7681940700808625,0.7539760869542806,4.2438188046216965,30.997304582210244,0.09608328913623122,0.30997304582210244,0.1466950628376205
4,0.5309216564609891,79.4971565399581,0.7973520984768595,0.7949715653995809,0.7882821363853847,0.4896032412846883,82.74932614555256,0.8201321635295957,0.8274932614555256,0.8199642207191242,4.971785311897595,30.997304582210244,0.09608328913623122,0.30997304582210244,0.1466950628376205
5,0.45637337678954715,82.13109847351093,0.8223820766601344,0.8213109847351092,0.8162260402247222,0.4163916657368342,84.366576819407,0.8407270741168679,0.8436657681940701,0.8401166069667625,5.420161286989848,30.997304582210244,0.09608328913623122,0.30997304582210244,0.1466950628376205
6,0.4099295184725807,84.85483388207123,0.8460559420244305,0.8485483388207123,0.8437794755832893,0.39126694202423096,86.52291105121294,0.8629564614804186,0.8652291105121294,0.8612651029600695,6.064605453362067,30.997304582210244,0.09608328913623122,0.30997304582210244,0.1466950628376205
7,0.3657861759265264,86.57587548638132,0.8612753060636804,0.8657587548638133,0.860989115573816,0.3794695734977722,86.2533692722372,0.8575172124847913,0.862533692722372,0.854933592729362,5.887679696083069,30.997304582210244,0.09608328913623122,0.30997304582210244,0.1466950628376205
8,0.3424172283638091,87.14456749476204,0.8665872906924389,0.8714456749476205,0.8665270595668935,0.3414389093716939,86.2533692722372,0.8627801974669609,0.862533692722372,0.8548903157025565,6.247053415824969,30.997304582210244,0.09608328913623122,0.30997304582210244,0.1466950628376205
9,0.31477248924119133,88.14726129901227,0.876107953129125,0.8814726129901227,0.8769553590810317,0.3369140972693761,87.06199460916442,0.8674641412255578,0.8706199460916442,0.8643633195691264,7.173767536257704,30.997304582210244,0.09608328913623122,0.30997304582210244,0.1466950628376205
10,0.2998660832643509,88.32684824902724,0.8788419011175609,0.8832684824902723,0.8794748482543187,0.29635022828976315,87.33153638814017,0.8706974860835095,0.8733153638814016,0.8692038446744724,7.603129497418801,30.997304582210244,0.09608328913623122,0.30997304582210244,0.1466950628376205
