Epoch,Training Loss,Training Accuracy,Training Precision,Training Recall,Training F1,Random Val Loss,Random Val Accuracy,Random Val Precision,Random Val Recall,Random Val F1,Sequence Val Loss,Sequence Val Accuracy,Sequence Val Precision,Sequence Val Recall,Sequence Val F1
1,1.16647650435807,53.796580024428394,0.5321461633013463,0.537965800244284,0.5297691830816386,0.9904192210706465,61.15718418514947,0.6129720862177035,0.6115718418514947,0.6030519459958413,1.6597032114802064,44.36837029893925,0.5696393485399904,0.44368370298939247,0.4705273989664991
2,0.9136201343717827,63.796151456061025,0.6340298007659615,0.6379615145606102,0.6316882075375381,0.8524603876599505,68.28351012536162,0.683649248377975,0.6828351012536162,0.6776428402593108,1.7444874429746753,53.9344262295082,0.6214778822165156,0.5393442622950819,0.5623870317685649
3,0.8060955576877051,68.8479010864208,0.6841894687921911,0.6884790108642082,0.6828835916930803,0.7723460157224737,70.19286403085825,0.701040629014305,0.7019286403085825,0.69913193192485,2.2196041148327277,48.83317261330762,0.590695846443326,0.4883317261330762,0.5313748097157978
4,0.7363464917513782,71.65395247176806,0.7119432856250673,0.7165395247176806,0.7112252428908117,0.7340068372846381,71.46576663452267,0.719080382032294,0.7146576663452266,0.7130155605664197,2.3481793857221183,51.224686595949855,0.5876076296251502,0.5122468659594985,0.5433031624003913
5,0.6824758437589541,73.56268883793688,0.7310031302911091,0.7356268883793687,0.7305257084202489,0.6584208962376132,74.75409836065573,0.7505501119172212,0.7475409836065574,0.7410540897528932,4.775176297344747,47.29026036644166,0.5820570792493781,0.4729026036644166,0.5078550589401053
6,0.6408502602254359,75.20571281633703,0.7474415014122325,0.7520571281633702,0.7470555789759097,0.6144557456297377,76.45130183220829,0.7640259566071271,0.764513018322083,0.7626820512642489,6.227076278430941,49.96142719382835,0.5730755227373537,0.4996142719382835,0.5272824259010788
7,0.6059595514516697,76.5578460153856,0.7607979030063398,0.765578460153856,0.7608160218850054,0.5936790189128712,77.28061716489874,0.7685377884955489,0.7728061716489875,0.7682373967702711,8.099926807423426,48.28351012536162,0.5438968653393325,0.48283510125361623,0.5003848899672758
8,0.5781622167356136,77.5703387832944,0.7708500837157781,0.775703387832944,0.7710037233594559,0.5744331135340264,78.57280617164899,0.7840158309932633,0.7857280617164899,0.7816553499378472,7.1968567339971985,48.94889103182256,0.55420606525704,0.48948891031822567,0.5086803606127799
9,0.5548826855545711,78.43926114813466,0.7796703560689993,0.7843926114813465,0.7797273148920764,0.5453250702539104,79.0549662487946,0.7880778198420728,0.790549662487946,0.787882356336289,10.311898852001441,48.20636451301832,0.5435876824810757,0.48206364513018324,0.5048687393406373
10,0.5370177802644774,79.07139949000364,0.7860708981308493,0.7907139949000365,0.7861520154905497,0.5359831697370377,79.03567984570877,0.7887658047023917,0.7903567984570877,0.7870007921187524,10.891186459829882,49.122468659594986,0.57581676660618,0.49122468659594987,0.5226888866286655
