Epoch,Training Loss,Training Accuracy,Training Precision,Training Recall,Training F1,Random Val Loss,Random Val Accuracy,Random Val Precision,Random Val Recall,Random Val F1,Sequence Val Loss,Sequence Val Accuracy,Sequence Val Precision,Sequence Val Recall,Sequence Val F1
1,1.4956531774353337,54.40244932432432,0.5442066378056333,0.5440244932432432,0.5330211417935853,0.81892409324646,72.38175675675676,0.7412527908739737,0.7238175675675675,0.6739312074013473,2.033534699678421,0.8023648648648649,0.6351351351351351,0.008023648648648648,0.015847101204947558
2,0.6239531499308508,79.85114020270271,0.814521152670998,0.798511402027027,0.7828823469511524,0.49880132377147673,85.0929054054054,0.8615820994963915,0.8509290540540541,0.8453955943786555,2.517313802242279,0.0,0.0,0.0,0.0
3,0.4074428141922564,87.85367398648648,0.8835350187310772,0.8785367398648649,0.8745141650241617,0.3475876212120056,89.65371621621621,0.8985413954405577,0.8965371621621622,0.893848288509479,3.2727440118789675,0.0,0.0,0.0,0.0
4,0.29164033463677846,91.58572635135135,0.9181767778372768,0.9158572635135135,0.9144499650163695,0.25803921222686765,93.0320945945946,0.9321571663318495,0.9303209459459459,0.9296998788661847,3.5992099761962892,0.0,0.0,0.0,0.0
5,0.224706871686755,93.0954391891892,0.9325306092922827,0.9309543918918919,0.9302166241534716,0.20632640421390533,93.45439189189189,0.9356445192378896,0.934543918918919,0.9340100981347887,4.215109252929688,0.0,0.0,0.0,0.0
6,0.1835989591640395,94.12478885135135,0.9420523374414485,0.9412478885135135,0.9407798140979493,0.17172665148973465,94.72128378378379,0.9475598883551936,0.9472128378378378,0.9469240673857632,4.3098386287689205,0.0,0.0,0.0,0.0
7,0.15560189976885513,94.8585304054054,0.9491668967929345,0.9485853040540541,0.9482663168479922,0.14878922551870347,95.3125,0.9540513464489504,0.953125,0.952844649024942,4.613944101333618,0.0,0.0,0.0,0.0
8,0.1353262559183546,95.51836993243244,0.9556918152107748,0.9551836993243243,0.9549620571553474,0.12915826290845872,95.94594594594595,0.9599146909479236,0.9594594594594594,0.9592517556771959,5.016599631309509,0.0,0.0,0.0,0.0
9,0.11952674932576515,96.09375,0.961265616182722,0.9609375,0.9607659725332632,0.11676054298877717,96.62162162162163,0.966434295519205,0.9662162162162162,0.9661298843164499,4.526892066001892,0.0,0.0,0.0,0.0
10,0.10805616487522383,96.70608108108108,0.9672170565421421,0.9670608108108109,0.9669161055005683,0.1087255448102951,96.70608108108108,0.9676535149982447,0.9670608108108109,0.9668953401966783,4.807138895988464,0.0,0.0,0.0,0.0
11,0.09932533963709264,97.01224662162163,0.9701665031764498,0.9701224662162162,0.9699765158762017,0.09992957711219788,97.50844594594595,0.9755355221038611,0.9750844594594594,0.9748916750658523,4.796309065818787,0.0,0.0,0.0,0.0
12,0.09214136900531279,97.30785472972973,0.9730561911982434,0.9730785472972973,0.9729495467596688,0.09258231967687607,97.21283783783784,0.9722110656440982,0.9721283783783784,0.9720112760578599,4.740677356719971,0.0,0.0,0.0,0.0
13,0.08674329015854243,97.57706925675676,0.975769581887027,0.9757706925675675,0.975666381536463,0.08956002965569496,97.50844594594595,0.9753864820112954,0.9750844594594594,0.9749646830486911,4.506733417510986,0.0,0.0,0.0,0.0
14,0.08239883103886166,97.75126689189189,0.9775421840501379,0.977512668918919,0.9774422327516263,0.08420626819133759,97.93074324324324,0.979737469875168,0.9793074324324325,0.979243701528632,4.807097649574279,0.0,0.0,0.0,0.0
15,0.07847702956280193,97.92546452702703,0.9792662219827679,0.9792546452702703,0.9791959121512503,0.0838269643485546,97.42398648648648,0.9744513338173096,0.9742398648648649,0.9742335890938797,4.6656732082366945,0.1266891891891892,0.6351351351351351,0.0012668918918918917,0.0025287397550171273
16,0.0754773863968817,97.98880912162163,0.9799114390475533,0.9798880912162162,0.979842731356179,0.0788075178861618,97.5929054054054,0.9762050018125418,0.9759290540540541,0.9759204622894888,4.7386445760726925,0.04222972972972973,0.6351351351351351,0.0004222972972972973,0.0008440334021729371
17,0.07262748761757,98.14717060810811,0.9815327421432738,0.981471706081081,0.9814504646278792,0.0776891864836216,97.80405405405405,0.9786478167864543,0.9780405405405406,0.9780737448806067,4.179515767097473,2.4070945945945947,0.6351351351351351,0.02407094594594595,0.046383988088023964
18,0.0706464187619654,98.18412162162163,0.9819197020678466,0.9818412162162162,0.9818314923035798,0.07412024363875389,98.39527027027027,0.9840963661637034,0.9839527027027027,0.9839336588016312,4.457525205612183,1.3091216216216217,0.6351351351351351,0.013091216216216214,0.025653666696011976
19,0.06879722613941978,98.38999155405405,0.9839473103996614,0.9838999155405406,0.9838907506826888,0.07237775102257729,98.47972972972973,0.9848992874584739,0.9847972972972973,0.9847283642228896,4.4863619089126585,0.9712837837837838,0.6351351351351351,0.009712837837837838,0.019133082001451352
20,0.06709155022493891,98.41638513513513,0.9842386444336036,0.9841638513513513,0.9841610790087358,0.07088980562984944,98.4375,0.9845456278566569,0.984375,0.9843707194615592,4.4833978652954105,1.8581081081081081,0.6351351351351351,0.018581081081081082,0.03610587331517564
21,0.06579380215623894,98.47445101351352,0.9848487013576951,0.9847445101351351,0.984750527445588,0.06950003430247306,98.69087837837837,0.9869501337815105,0.9869087837837838,0.9868972485748655,4.073623859882355,5.405405405405405,0.6351351351351351,0.05405405405405406,0.09962904080551138
22,0.06450335782121967,98.60641891891892,0.9861718896949287,0.9860641891891891,0.9860755655307496,0.06821753978729247,98.60641891891892,0.9862215331966676,0.9860641891891891,0.9860950903794505,4.042664277553558,6.6300675675675675,0.6351351351351351,0.06630067567567567,0.12006768960411346
23,0.06340553143338577,98.67504222972973,0.9868315213832732,0.9867504222972973,0.9867555093636288,0.0672052551060915,98.52195945945945,0.9852573408005859,0.9852195945945946,0.9851980832211361,4.209758388996124,5.489864864864865,0.6351351351351351,0.05489864864864865,0.10106189420754903
24,0.06265942540925902,98.64336993243244,0.9865074948938451,0.9864336993243243,0.9864406159165484,0.06621440388262272,98.69087837837837,0.9869858941401961,0.9869087837837838,0.9869098001055847,4.007285225391388,7.474662162162162,0.6351351351351351,0.07474662162162163,0.1337524317893146
25,0.061533988982036304,98.70671452702703,0.9871858745385371,0.9870671452702703,0.9870819858013485,0.06566787585616111,98.69087837837837,0.9870325038669602,0.9869087837837838,0.9869013543766416,4.067278587818146,6.841216216216216,0.6351351351351351,0.06841216216216216,0.1235196781415269
26,0.060788945169062227,98.75422297297297,0.987652108081526,0.9875422297297297,0.9875549137224479,0.06449520960450172,98.69087837837837,0.9870180730169485,0.9869087837837838,0.9869047938328295,3.864761483669281,9.50168918918919,0.6351351351351351,0.0950168918918919,0.1653041126725337
27,0.05996699908093826,98.82284628378379,0.9883341624037711,0.9882284628378378,0.9882428730391781,0.06447417885065079,98.47972972972973,0.9850040641222906,0.9847972972972973,0.9848025401529678,3.9113910377025602,8.403716216216216,0.6351351351351351,0.08403716216216216,0.1484344003427973
28,0.059027724723155435,98.77533783783784,0.9879024975259154,0.9877533783783784,0.9877730243320267,0.06282064467668533,98.90202702702703,0.9890637522747289,0.9890202702702703,0.9890033888591158,3.7782460749149323,10.261824324324325,0.6223299912816043,0.10261824324324324,0.17618474639022585
29,0.05878554712477568,98.82284628378379,0.9883434841484439,0.9882284628378378,0.9882441244727437,0.06332846283912659,98.69087837837837,0.9870248428551716,0.9869087837837838,0.9869124871687018,3.4199099272489546,18.96114864864865,0.5411303143750962,0.18961148648648646,0.28082292040933104
30,0.0581074159189656,98.88091216216216,0.9889072667448172,0.9888091216216216,0.9888216370745777,0.06197962611913681,98.39527027027027,0.9841730135611816,0.9839527027027027,0.9839593619950673,3.6638802230358123,13.555743243243244,0.5726920740965685,0.13555743243243243,0.21922406277244988
31,0.057721122344200675,98.7647804054054,0.9878062611738637,0.9876478040540541,0.9876703370409209,0.061395155265927315,98.64864864864865,0.9865501960053349,0.9864864864864865,0.9864723318813168,3.777084934711456,10.684121621621621,0.5759469146565921,0.10684121621621621,0.18024586560761544
32,0.05740813749867517,98.79645270270271,0.9880817303894007,0.987964527027027,0.9879829548306863,0.06089818738400936,98.64864864864865,0.9866995027825133,0.9864864864864865,0.9865097113670656,3.4022909879684446,19.510135135135137,0.5315804935370153,0.19510135135135137,0.28544010937007047
33,0.05674057383392308,98.83868243243244,0.9885151301044062,0.9883868243243243,0.9884025713808693,0.06063625179231167,98.73310810810811,0.9874739040058592,0.987331081081081,0.9873469582067361,3.2764413475990297,21.4527027027027,0.5212417587215649,0.214527027027027,0.30395539203829364
34,0.05637766073483068,98.90202702702703,0.9891443457875103,0.9890202702702703,0.9890352298994504,0.06021126993000507,98.3108108108108,0.9833724389240935,0.9831081081081081,0.9831322843974412,3.4204795479774477,19.721283783783782,0.5268350055206182,0.1972128378378378,0.28699381529570206
35,0.05587840759875001,98.93369932432432,0.9894288494670213,0.9893369932432432,0.9893469156347239,0.05959132611751557,98.69087837837837,0.9870726110016264,0.9869087837837838,0.9869120143689042,3.5387399971485136,18.53885135135135,0.5231225597079255,0.18538851351351351,0.27375976860512946
36,0.05565409196188321,98.90202702702703,0.9891343897936338,0.9890202702702703,0.9890324791408487,0.05945415981113911,98.64864864864865,0.9866640612324366,0.9864864864864865,0.9865128047792314,3.341758298873901,21.91722972972973,0.5032597482979162,0.21917229729729729,0.3053590876657111
37,0.055399612599128,98.94425675675676,0.9895605143892323,0.9894425675675675,0.9894574732801221,0.05875935554504395,98.22635135135135,0.9825257917972212,0.9822635135135135,0.9822434647233917,3.4202913463115694,20.56587837837838,0.49888840453356587,0.20565878378378377,0.291253117524304
38,0.05515395995934267,98.93369932432432,0.9894722303487603,0.9893369932432432,0.989353533449243,0.058475497737526895,98.60641891891892,0.9863494205307259,0.9860641891891891,0.9860946540938277,3.1279308959841727,27.91385135135135,0.46440743841186327,0.2791385135135135,0.3486912992726946
